"Investor.ID","Activist","ActivistHQ","ActivistRegion","Founded","FirstDateInvestedByActivisit","CurrentHolding","StatusCurrent","StatusExisted","DateExited","ExitType","Company","PID","PID_COUNT","CompanyHQ","ConpanyRegion","AH_PricePerShareLocal","Currency","AH_PruchaseValueMnLocal","FR_PriceStart","FR_PriceEnd","PriceChangeSinceExitByCamp","SPChangeSinceExitByCamp","AvgChangeOverPeriodOfInvByAct","AvgReturnAnnualisedByAct","AvgSPReturnByAct","AvgSPReturnAnnualisedByAct","ExcessReturnByAct","LastInv","ReturnByCamp","ReturnAnnualisedByCamp","SPChangeByCamp","SPChangeAnnualisedByCamp","NoOfCamp","PositiveReturnByCamp","ExcessReturnByCamp","HitRatioByAct","NoOfCamp3Y","PositiveReturnByCamp3Y","HitRatioByAct3Y","Industry","Sector","CampByIND","PositiveReturnByIND","HitRatioByIND","CampByIND3Y","PositiveReturnByIND3Y","HitRatioByIND3Y","NoOfInvByIND","AvgChangeOverPeriodOfInvByIND","AvgReturnAnnualisedByIND","AvgSPReturnByIND","AvgSPReturnAnnualisedByIND","MarketCap","MarketCapCategory","CampByMC","PositiveReturnByMC","HitRatioByMC","CampByMC3Y","PositiveReturnByMC3Y","HitRatioByMC3Y","NoOfInvByMC","AvgChangeOverPeriodOfInvByMC","AvgAnnualisedReturnByMC","AvgSPReturnByMC","ConcernedShareholder","Engagement","Occasional","PartialFocus","PrimaryFocus","ActivistAUM","ActivistAUMDate","ThirteenD","LongShort","GainBoardRepresentation","AdoptMajorityVoteStandard","AmendByLaw","AmendListingStatus","BoardIndependence","BusinessFocus","BusinessRestructuring","ChangeBoardComposition","ClosureOfBusinessUnit","Dividends","EliminateStaggeredBoard","EquityIssuance","ExcessCash","FocusOnGrowthStrategies","GeneralCostCutting","LackOfInaccurateInformationFromCompany","OperationalEfficiency","OpposeAcquisitionOfThirdParty","OpposeEquityIssuance","OpposeProxyContest","OpposeSaleOfCompany","PushForAcquisitionOfThirdParty","PushForCompanyDivision","PushForSaleOfCompany","PushForOpposeMergingOfShares","Recapitalization","RedemptionAmendmentOfPoisonPill","REITorMLPConversion","RemovalOfCEOorOtherBoardMember","Remuneration","ReplaceAuditor","ReplaceManagement","RestructureDebt","ReturnCashToShareholders","SellOrRetainAssets","SeparateChairmanAndCEO","ShareRepurchase","SpinOffSaleOfBusinessDivision","SuccessionPlanning","TerminateInvestmentAdvisoryAgreement","UnderLeverage","UseUniversalBallot","AGM","ActivistWithdrewDemands","NA.","AGMResult","MergerCompleted","EGMorSpecialMeeting","ProxyContest","ActivistExitsStock","MergerOrTakeover","MetWithDemandsInFull","PublicDisagreement","NoPublicResponse","CompromiseOrAgreement","ShareholderVote","CompanyHiresFiresResignations","ActivistHiresFiresResignations","EngagedActivistPositively","NewCEOAppointed","CompanyRejectsTakeoverBid","CompanyRejectsSpecialMeeting","MeetingsWithBoardOrManagement","ActivistWritesToRegulator","CommunicationWithShareholders","WentToVote","JobCuts","ExternalAdvice","CEOorChairmanDeparts","ActivistAppealsToRegulatorOrCourts","Lawsuit","CR_Dividends","DividendOrShareRepurchaseChange","CompanyMakesAcquisition","CompanyReleasesFinancials","WelcomedActivist","Bankruptcy","ProxyAccess","ImplementAmendPoisonPill","ActivistWinsBoardSeats","ActivistNominatesBoardMembers","ThankedActivist","ShareholderProposal","TenderOffer","ActivistDropsBelowReportingThreshold","NewMergerAnnounced","ProxyAdvisorVerdict","ActivistStatement","PoisonPillImplemented","LawsuitAgainstActivist","LetterToFellowShareholders","ActivistNomineesAppointedToBoard","SettlementAgreementConcluded","LetterToBoardOrManagement","CompanyRejectsBoardNominations","DelayShareholderMeeting","CloseFund","ClosedAGM","ActivistIssuesPublicLetter","ActivistLetterToRegulatoryBodies","LitigationInitiated","ConsentSolicitationInitiated","SECFiling","SeatsProposed","SeatsGained","SeatsGainedMethod","Ongoing","WithdrewDemands","PartiallySuccessful","Successful","Unsuccessful","CompromiseOrSettlement","Unresolved","Buyer"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2017-02-22","miss",0,1,"2017","Sold Shares","Deltic Timber Corporation",2395,1,"US","NorthAmerica",NA,"USD",NA,82.51,91.64,1.79,NA,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",11.55,13.64,16.06,19.03,29,12,-4.51,0.413793,2,1,0.5,"Lumber & Wood Production","Basic Materials",6,4,0.66666666,1,1,1,905,5.10933366688053,7.12,53.72,NA,1174,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",2017-02-22,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","No","No","Yes","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2018-08-15","miss",0,1,"2019","Sold Shares","Summit Materials Inc",33920,1,"US","NorthAmerica",NA,"USD",NA,19.79,23.9,-27.32,5.22,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",20.77,14.67,17.85,12.66,29,12,2.92,0.413793,2,1,0.5,"Building Materials","Basic Materials",6,4,0.66666666,1,1,1,2244,4.07090533048834,-3.04,45.99,13.91,1982,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",2019-06-17,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","No","No","No","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2012-01-20","miss",0,1,"2014","Sold Shares","Martin Marietta Materials Inc.",980,1,"US","NorthAmerica",NA,"USD",NA,80.9,118.48,99.25,108.52,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",50.41,21.78,46.3,20.17,29,12,4.11,0.413793,2,1,0.5,"Building Materials","Basic Materials",6,4,0.66666666,1,1,1,905,5.10933366688053,7.12,53.72,NA,13911,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",2012-01-20,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","No","Yes","No","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2012-01-20","miss",0,1,"2014","Sold Shares","Vulcan Materials Company",753,1,"US","NorthAmerica",NA,"USD",NA,42.72,66.45,108.37,104.28,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",55.85,22.41,49.33,20.05,29,12,6.52,0.413793,2,1,0.5,"Building Materials","Basic Materials",6,4,0.66666666,1,1,1,905,5.10933366688053,7.12,53.72,NA,17491,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",2012-01-20,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","Yes","No","No","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2008-12-22","miss",0,1,"2014","Purchased by Listed Company","Texas Industries Inc.",1640,1,"US","NorthAmerica",88.94,"USD",3000,32.45,88.94,NA,NA,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",NA,20.01,NA,NA,29,12,NA,0.413793,2,1,0.5,"Building Materials","Basic Materials",6,4,0.66666666,1,1,1,905,5.10933366688053,7.12,53.72,NA,2583,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",NA,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","No","No","No","No","No","No","Martin Marietta Materials Inc"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2017-11-15","0",1,0,"miss","miss","CenturyLink Inc.",327,1,"US","NorthAmerica",NA,"USD",NA,14.78,10.86,NA,NA,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",5.28,1.9,38.24,12.56,29,12,-32.96,0.413793,2,1,0.5,"Telecom Services","Communication Services",3,0,0,0,0,0,1539,3.54066942694875,13.02,40.48,13.65,11919,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",2019-02-19,"Long","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","Settlement","Yes","No","No","Yes","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2004-12-27","miss",0,1,"2011","Sold Shares","Telephone & Data Systems Inc",6212,1,"US","NorthAmerica",NA,"USD",NA,33.76,35.32,-17,NA,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",8.46,1.33,NA,NA,29,12,NA,0.413793,2,1,0.5,"Telecom Services","Communication Services",3,0,0,0,0,0,1539,3.54066942694875,13.02,40.48,13.65,2654,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",NA,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","No","No","No","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2010-12-09","1.985",1,0,"miss","miss","Hochtief AG",9036,1,"Germany","WestEurope",NA,"USD",NA,64.53,77.2,NA,NA,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",58.62,4.88,NA,13.24,29,12,-174.32,0.413793,2,1,0.5,"Engineering & Construction","Industrials",5,2,0.4,1,0,0,905,5.10933366688053,7.12,53.72,NA,6293,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",NA,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","Yes","No","No","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2011-08-26","miss",1,0,"miss","miss","Ferrovial SA",9149,1,"Spain","WestEurope",NA,"USD",NA,7.4,22.63,NA,NA,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",NA,14.93,NA,14.78,29,12,4.13,0.413793,2,1,0.5,"Infrastructure Operations","Industrials",5,2,0.4,1,0,0,905,5.10933366688053,7.12,53.72,NA,19604,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",NA,"Long","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"miss","miss","miss","No","No","No","No","No","No","No","miss"
449,"Southeastern Asset Management","US","NorthAmerica",1975,"2016-11-07","14.43",1,0,"miss","miss","Eastman Kodak Company",17510,1,"US","NorthAmerica",NA,"USD",NA,14.8,10.73,NA,NA,4.95540443309684,13.63,NA,13.61,NA,"2018-08-15",-27.5,-8.2,69.91,15.15,29,12,-97.41,0.413793,2,1,0.5,"Consumer Electronics","Technology",1,0,0,0,0,0,1217,3.36970671457078,-8.9,49.66,13.82,469,"Nano-Cap",25,9,0.36,0.693147180559945,1,0.5,7.64108424917491,4.52774903901951,-2.86,4.07838454264337,0,0,0,1,0,12714,"2020-03-27",NA,"Long","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","Settlement","No","No","No","Yes","No","No","No","miss"
