,with,pv_w,without,pv_wo,diff,Corr.Drop,Diss.Drop,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Founded,0.094932459,1.27E-05,0.094932459,1.27E-05,0%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CurrentHolding,-0.330842312,2.59E-12,-0.260615768,1.43E-07,21%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_PriceStart,0.029251271,0.179536255,0.05609146,0.014319409,-92%,No,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR_PriceEnd,0.310643446,2.30E-48,0.337247183,2.32E-52,-9%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PriceChangeSinceExitByCamp,0.135044317,1.06E-07,0.15614121,2.92E-09,-16%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPChangeSinceExitByCamp,0.072724625,0.006258073,0.069354123,0.011072074,5%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgChangeOverPeriodOfInvByAct,0.054195876,0.012844379,0.088680133,0.000213303,-64%,No,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgReturnAnnualisedByAct,0.175590001,4.73E-16,0.112015468,1.46E-06,36%,No,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgSPReturnByAct,-0.130374667,1.89E-09,-0.118260202,9.65E-08,9%,Yes,No,Leave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AvgSPReturnAnnualisedByAct,0.015843175,0.467318728,0.015843175,0.467318728,0%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExcessReturnByAct,0.157521919,3.55E-13,0.156006824,1.40E-12,1%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReturnByCamp,0.775131024,0,0.752982868,0,3%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReturnAnnualisedByCamp,0.828970402,0,0.805217848,0,3%,Yes,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPChangeByCamp,-0.229893946,1.14E-26,-0.143016156,5.39E-10,38%,No,Yes,Drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
