ActivistHQ_2,ActivistRegion_2,Founded_43,FirstDateInvestedByActivisit_23,FirstDateInvestedByActivisit_26,FirstDateInvestedByActivisit_41,FirstDateInvestedByActivisit_43,FirstDateInvestedByActivisit_80,FirstDateInvestedByActivisit_97,FirstDateInvestedByActivisit_102,FirstDateInvestedByActivisit_268,FirstDateInvestedByActivisit_332,FirstDateInvestedByActivisit_354,FirstDateInvestedByActivisit_363,FirstDateInvestedByActivisit_546,FirstDateInvestedByActivisit_598,FirstDateInvestedByActivisit_697,FirstDateInvestedByActivisit_847,FirstDateInvestedByActivisit_917,FirstDateInvestedByActivisit_941,FirstDateInvestedByActivisit_979,FirstDateInvestedByActivisit_990,FirstDateInvestedByActivisit_999,FirstDateInvestedByActivisit_1132,FirstDateInvestedByActivisit_1136,FirstDateInvestedByActivisit_1173,FirstDateInvestedByActivisit_1201,FirstDateInvestedByActivisit_1224,FirstDateInvestedByActivisit_1257,FirstDateInvestedByActivisit_1308,FirstDateInvestedByActivisit_1471,FirstDateInvestedByActivisit_1497,FirstDateInvestedByActivisit_1676,FirstDateInvestedByActivisit_1792,FirstDateInvestedByActivisit_1807,FirstDateInvestedByActivisit_1842,FirstDateInvestedByActivisit_1853,FirstDateInvestedByActivisit_1885,FirstDateInvestedByActivisit_1921,FirstDateInvestedByActivisit_1937,FirstDateInvestedByActivisit_1938,FirstDateInvestedByActivisit_1982,FirstDateInvestedByActivisit_2584,CurrentHolding_1,CurrentHolding_6,StatusCurrent_1,StatusCurrent_2,StatusExisted_1,StatusExisted_2,DateExited_1,DateExited_2,DateExited_3,DateExited_5,DateExited_6,DateExited_8,DateExited_9,DateExited_10,DateExited_12,DateExited_15,DateExited_16,ExitType_1,ExitType_2,ExitType_4,ExitType_5,ExitType_7,ConpanyRegion_1,ConpanyRegion_2,HitRatioByAct3Y,HitRatioByIND,CampByIND3Y_1,CampByIND3Y_3,CampByIND3Y_4,CampByIND3Y_6,PositiveReturnByIND3Y_1,PositiveReturnByIND3Y_2,PositiveReturnByIND3Y_3,PositiveReturnByIND3Y_4,AvgSPReturnAnnualisedByIND_1,AvgSPReturnAnnualisedByIND_2,AvgSPReturnAnnualisedByIND_3,AvgSPReturnAnnualisedByIND_4,MarketCapCategory_1,HitRatioByMC3Y_1,HitRatioByMC3Y_25,HitRatioByMC3Y_43,NoOfInvByMC_3,AvgChangeOverPeriodOfInvByMC_4,AvgSPReturnByMC_4,Engagement_1,Engagement_2,Occasional_2,PrimaryFocus_1,OpposeSaleOfCompany_1,OpposeSaleOfCompany_2,ActivistWithdrewDemands_2,NA._2,ActivistExitsStock_1,SeatsGained_2,SeatsGained_6,SeatsGainedMethod_2,Successful_1,Successful_2,Unsuccessful_1,hclust4,Mclust3,Mclust4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,3,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,3,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,3,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,3,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,3,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,3,3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,3,3
