Variable,Univariable,Lasso,Ridge,ComplementNB,RandomForest,CART,GradientBoost,ADAboost,SVM,Sum
ActivistHQ_1,0,0,0,0,1,1,0,0,0,2
ActivistHQ_2,1,0,0,0,1,1,1,0,0,4
ActivistHQ_3,1,0,0,0,1,0,0,0,0,2
ActivistHQ_4,0,0,1,0,0,0,0,0,0,1
ActivistHQ_5,1,0,0,0,1,0,0,0,0,2
ActivistHQ_6,0,0,0,0,1,0,0,0,0,1
ActivistHQ_7,0,0,0,0,0,0,0,0,0,0
ActivistHQ_8,0,0,0,0,0,0,0,0,0,0
ActivistHQ_9,0,0,0,0,0,0,0,0,0,0
ActivistHQ_10,0,0,0,0,1,1,0,0,0,2
ActivistHQ_11,1,0,0,0,1,0,0,0,0,2
ActivistHQ_12,0,0,1,1,0,0,0,0,0,2
ActivistHQ_13,0,0,0,0,1,0,0,0,0,1
ActivistHQ_14,1,0,0,0,1,1,0,0,0,3
ActivistHQ_15,0,0,0,0,0,0,0,0,0,0
ActivistHQ_16,0,0,0,0,0,1,0,0,0,1
ActivistHQ_17,0,0,0,0,0,0,0,0,0,0
ActivistHQ_18,0,0,0,0,0,1,0,0,0,1
ActivistHQ_19,0,0,0,1,0,0,0,0,0,1
ActivistHQ_20,0,0,0,0,0,0,0,0,0,0
ActivistHQ_21,0,0,0,0,0,0,0,0,0,0
ActivistHQ_22,0,0,0,1,0,0,0,0,0,1
ActivistHQ_23,0,0,0,0,0,0,0,0,0,0
ActivistHQ_24,0,0,0,1,0,0,0,0,0,1
ActivistHQ_25,0,0,0,0,0,1,1,0,0,2
ActivistHQ_26,0,0,0,0,0,0,0,0,0,0
ActivistHQ_27,0,0,0,1,0,0,0,0,0,1
ActivistHQ_28,0,0,0,0,0,0,0,0,0,0
ActivistHQ_29,0,0,0,0,0,0,0,0,0,0
ActivistHQ_30,0,0,0,0,0,0,0,0,0,0
ActivistHQ_31,0,0,1,0,0,0,0,0,0,1
ActivistHQ_32,0,0,0,0,0,0,0,0,0,0
ActivistHQ_33,0,0,1,0,0,0,0,0,0,1
ActivistHQ_34,0,0,0,0,0,0,0,0,0,0
ActivistHQ_35,0,0,1,0,0,0,0,0,0,1
ActivistHQ_36,0,0,0,0,1,0,0,0,0,1
ActivistHQ_37,0,0,1,1,0,0,0,0,0,2
ActivistHQ_38,0,0,0,0,0,0,0,0,0,0
ActivistHQ_39,0,0,0,0,0,0,0,0,0,0
ActivistHQ_40,0,0,0,1,0,0,0,0,0,1
ActivistHQ_41,0,0,0,1,0,0,0,0,0,1
ActivistHQ_42,0,0,0,1,0,0,0,0,0,1
ActivistHQ_43,0,0,0,1,0,0,0,0,0,1
ActivistHQ_44,0,0,0,1,0,0,0,0,0,1
ActivistHQ_45,0,0,0,1,0,0,0,0,0,1
ActivistHQ_46,0,0,0,1,0,0,0,0,0,1
ActivistHQ_47,0,0,0,1,0,0,0,0,0,1
ActivistHQ_48,0,0,0,1,0,0,0,0,0,1
ActivistHQ_49,0,0,1,1,0,0,0,0,0,2
ActivistHQ_50,0,0,1,1,0,0,0,0,0,2
ActivistHQ_51,0,0,0,0,1,0,0,0,0,1
ActivistHQ_52,0,0,0,1,0,0,0,0,0,1
ActivistHQ_53,0,0,1,1,0,0,0,0,0,2
ActivistHQ_54,0,0,0,1,0,0,0,0,0,1
ActivistHQ_55,0,0,0,1,0,0,0,0,0,1
ActivistHQ_56,0,0,0,1,0,0,0,0,0,1
ActivistHQ_57,0,0,1,1,0,0,0,0,0,2
ActivistHQ_58,0,0,0,1,0,0,0,0,0,1
ActivistHQ_59,0,0,1,1,0,0,0,0,0,2
ActivistHQ_60,0,0,0,0,0,0,0,0,0,0
ActivistHQ_61,0,0,0,1,0,0,0,0,0,1
ActivistHQ_62,0,0,0,1,0,0,0,0,0,1
ActivistHQ_63,0,0,0,0,0,0,0,0,0,0
ActivistHQ_64,0,0,1,1,0,0,0,0,0,2
ActivistHQ_65,0,0,0,1,0,0,0,0,0,1
ActivistHQ_66,0,0,1,1,0,0,0,0,0,2
ActivistHQ_67,0,0,0,1,0,0,0,0,0,1
ActivistHQ_68,0,0,1,1,0,0,0,0,0,2
ActivistHQ_69,0,0,0,1,0,0,0,0,0,1
ActivistRegion_1,1,0,0,0,1,1,0,0,0,3
ActivistRegion_2,1,0,0,0,1,1,1,0,1,5
ActivistRegion_3,1,0,0,0,1,1,0,0,0,3
ActivistRegion_4,1,0,0,0,1,1,0,0,0,3
ActivistRegion_5,0,0,0,0,1,0,0,0,0,1
Founded_1,0,0,0,0,0,0,0,0,0,0
Founded_2,1,0,0,0,1,1,0,0,0,3
Founded_3,0,0,0,0,1,0,0,0,0,1
Founded_4,0,0,0,0,1,0,0,0,0,1
Founded_5,0,0,0,0,1,1,0,0,0,2
Founded_6,1,0,0,0,0,0,0,0,0,1
Founded_7,0,0,0,0,1,1,0,0,0,2
Founded_8,0,0,0,0,1,0,0,0,0,1
Founded_9,0,0,0,0,1,1,0,0,0,2
Founded_10,1,0,0,0,1,1,0,0,0,3
Founded_11,0,0,0,0,0,0,0,0,0,0
Founded_12,0,0,0,0,1,1,0,0,0,2
Founded_13,0,0,1,1,0,0,0,0,0,2
Founded_14,1,0,0,0,1,1,0,0,0,3
Founded_15,1,0,0,0,1,1,0,0,0,3
Founded_16,0,0,0,0,1,1,0,0,0,2
Founded_17,0,0,0,0,1,0,0,0,0,1
Founded_18,0,0,0,0,0,0,0,0,0,0
Founded_19,0,0,0,0,1,1,1,0,0,3
Founded_20,0,0,0,0,1,1,0,0,0,2
Founded_21,0,0,0,0,1,1,1,0,0,3
Founded_22,0,0,0,0,0,0,0,0,0,0
Founded_23,0,0,0,0,0,0,0,0,0,0
Founded_24,0,0,0,0,1,0,0,0,0,1
Founded_25,0,0,0,0,1,1,0,0,0,2
Founded_26,0,0,0,0,1,1,0,0,0,2
Founded_27,1,0,0,0,1,1,0,0,0,3
Founded_28,1,0,0,0,1,0,0,0,0,2
Founded_29,0,0,0,0,1,1,0,0,0,2
Founded_30,1,0,0,0,1,1,0,0,0,3
Founded_31,0,0,0,0,1,1,0,0,0,2
Founded_32,0,0,0,0,0,0,0,0,0,0
Founded_33,0,0,0,0,1,1,0,0,0,2
Founded_34,0,0,0,0,1,1,0,0,0,2
Founded_35,0,0,0,0,0,0,0,0,0,0
Founded_36,0,0,0,0,1,1,0,0,0,2
Founded_37,0,0,0,0,1,0,1,0,0,2
Founded_38,0,0,0,0,1,0,0,0,0,1
Founded_39,1,0,0,0,1,1,0,0,0,3
Founded_40,0,0,0,0,1,1,0,0,0,2
Founded_41,0,0,0,0,1,1,0,0,0,2
Founded_42,0,0,0,0,0,0,0,0,0,0
Founded_43,1,0,0,0,1,1,0,1,0,4
Founded_44,0,0,0,0,1,0,0,0,0,1
Founded_45,0,0,0,0,1,0,0,0,0,1
Founded_46,0,0,0,0,0,0,0,0,0,0
Founded_47,0,0,0,0,1,1,0,0,0,2
Founded_48,0,0,0,0,0,1,0,0,0,1
Founded_49,0,0,0,1,0,0,0,0,0,1
Founded_50,0,0,0,0,0,0,0,0,0,0
Founded_51,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_1,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_2,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_3,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_4,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_5,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_6,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_7,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_8,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_9,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_10,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_11,0,0,0,0,0,1,0,0,0,1
FirstDateInvestedByActivisit_12,0,0,1,0,0,1,1,0,0,3
FirstDateInvestedByActivisit_13,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_14,0,0,0,0,0,1,1,0,0,2
FirstDateInvestedByActivisit_15,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_16,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_17,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_18,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_19,0,0,0,1,0,1,0,0,0,2
FirstDateInvestedByActivisit_20,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_21,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_22,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_23,1,0,1,0,1,1,1,1,0,6
FirstDateInvestedByActivisit_24,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_25,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_26,1,0,0,0,1,1,1,0,0,4
FirstDateInvestedByActivisit_27,1,0,0,0,1,1,0,0,0,3
FirstDateInvestedByActivisit_28,0,0,0,0,1,1,1,0,0,3
FirstDateInvestedByActivisit_29,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_30,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_31,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_32,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_33,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_34,0,0,0,1,0,1,0,0,0,2
FirstDateInvestedByActivisit_35,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_36,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_37,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_38,0,0,0,0,0,0,0,0,0,0
FirstDateInvestedByActivisit_39,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_40,0,0,0,0,1,1,0,0,0,2
FirstDateInvestedByActivisit_41,1,0,0,0,1,1,1,0,0,4
FirstDateInvestedByActivisit_42,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_43,0,0,1,1,1,1,0,0,0,4
FirstDateInvestedByActivisit_44,0,0,0,0,1,1,1,0,0,3
FirstDateInvestedByActivisit_45,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_46,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_47,0,0,0,1,0,0,0,0,0,1
FirstDateInvestedByActivisit_48,0,0,1,1,0,0,0,0,0,2
FirstDateInvestedByActivisit_49,0,0,0,0,1,1,1,0,0,3
FirstDateInvestedByActivisit_50,0,0,0,0,0,0,0,0,0,0
